Crown_id,Genus,Probability
3,AC,0.0
3,LI,0.0
3,OT,0.0
3,PI,1.0
3,QU,0.0
4,AC,0.0
4,LI,0.0
4,OT,0.0
4,PI,1.0
4,QU,0.0
9,AC,0.0
9,LI,0.0
9,OT,0.0
9,PI,0.0
9,QU,1.0
13,AC,0.0
13,LI,0.0
13,OT,0.0
13,PI,1.0
13,QU,0.0
14,AC,0.0
14,LI,0.0
14,OT,0.0
14,PI,1.0
14,QU,0.0
16,AC,0.0
16,LI,0.0
16,OT,0.0
16,PI,1.0
16,QU,0.0
18,AC,0.0
18,LI,0.0
18,OT,0.0
18,PI,0.0
18,QU,1.0
20,AC,0.0
20,LI,0.0
20,OT,0.0
20,PI,0.9090909090909091
20,QU,0.09090909090909091
21,AC,0.0
21,LI,0.0
21,OT,0.0
21,PI,1.0
21,QU,0.0
22,AC,0.0
22,LI,0.0
22,OT,0.0
22,PI,0.0
22,QU,1.0
23,AC,0.0
23,LI,0.0
23,OT,0.0
23,PI,0.0
23,QU,1.0
24,AC,0.0
24,LI,0.0
24,OT,0.0
24,PI,0.6666666666666666
24,QU,0.3333333333333333
25,AC,0.0
25,LI,0.0
25,OT,0.0
25,PI,1.0
25,QU,0.0
26,AC,0.0
26,LI,0.0
26,OT,0.0
26,PI,1.0
26,QU,0.0
28,AC,0.0
28,LI,0.0
28,OT,0.0
28,PI,1.0
28,QU,0.0
29,AC,0.0
29,LI,0.0
29,OT,0.0
29,PI,1.0
29,QU,0.0
30,AC,0.0
30,LI,0.0
30,OT,0.0
30,PI,0.25
30,QU,0.75
31,AC,0.0
31,LI,0.0
31,OT,0.0
31,PI,0.0
31,QU,1.0
42,AC,0.0
42,LI,0.0
42,OT,0.0
42,PI,1.0
42,QU,0.0
43,AC,0.0
43,LI,0.0
43,OT,0.0
43,PI,1.0
43,QU,0.0
44,AC,0.0
44,LI,0.0
44,OT,0.0
44,PI,1.0
44,QU,0.0
45,AC,0.0
45,LI,0.0
45,OT,0.0
45,PI,1.0
45,QU,0.0
46,AC,0.0
46,LI,0.0
46,OT,0.0
46,PI,1.0
46,QU,0.0
52,AC,0.0
52,LI,0.0
52,OT,0.0
52,PI,0.0
52,QU,1.0
53,AC,0.0
53,LI,0.0
53,OT,0.0
53,PI,1.0
53,QU,0.0
54,AC,0.0
54,LI,0.0
54,OT,0.0
54,PI,1.0
54,QU,0.0
55,AC,0.0
55,LI,0.0
55,OT,0.0
55,PI,1.0
55,QU,0.0
57,AC,0.0
57,LI,0.0
57,OT,0.0
57,PI,1.0
57,QU,0.0
58,AC,0.0
58,LI,0.0
58,OT,0.0
58,PI,1.0
58,QU,0.0
61,AC,0.0
61,LI,0.0
61,OT,0.0
61,PI,1.0
61,QU,0.0
62,AC,0.0
62,LI,0.0
62,OT,0.0
62,PI,0.0
62,QU,1.0
67,AC,0.0
67,LI,0.0
67,OT,0.0
67,PI,1.0
67,QU,0.0
68,AC,0.0
68,LI,0.0
68,OT,0.0
68,PI,1.0
68,QU,0.0
71,AC,0.0
71,LI,0.0
71,OT,0.0
71,PI,1.0
71,QU,0.0
72,AC,0.0
72,LI,0.0
72,OT,0.0
72,PI,1.0
72,QU,0.0
73,AC,0.0
73,LI,0.0
73,OT,0.0
73,PI,0.0
73,QU,1.0
78,AC,0.0
78,LI,0.0
78,OT,0.0
78,PI,1.0
78,QU,0.0
79,AC,0.0
79,LI,0.0
79,OT,0.0
79,PI,1.0
79,QU,0.0
82,AC,0.0
