Crown_id,Genus,Probability
3,AC,0.005477883337775473
3,LI,2.403328980425314e-05
3,OT,0.00020825772591795378
3,PI,0.8819124564546906
3,QU,0.11237736919181167
4,AC,0.0047980446363025805
4,LI,1.8664872004367986e-06
4,OT,2.039497038134987e-06
4,PI,0.9919477135290568
4,QU,0.003250335850402056
9,AC,0.00038851930277692575
9,LI,0.0001652188847596609
9,OT,0.000142889504001824
9,PI,0.032932368153125724
9,QU,0.9663710041553358
13,AC,0.00011584703894442367
13,LI,2.1670684375836027e-07
13,OT,2.8070167832291635e-07
13,PI,0.9963198383888745
13,QU,0.0035638171636591474
14,AC,8.699992938697416e-06
14,LI,3.992688659491404e-06
14,OT,3.844757188567575e-06
14,PI,0.8536575964939207
14,QU,0.14632586606729248
16,AC,0.015211549954463796
16,LI,0.0004382230718833289
16,OT,0.00013496073696156303
16,PI,0.6937149026294677
16,QU,0.29050036360722353
18,AC,0.004281518254703484
18,LI,3.388778177256707e-05
18,OT,0.02804256282833473
18,PI,0.00305379001606512
18,QU,0.9645882411191243
20,AC,0.0027689028547919375
20,LI,5.630442759663292e-05
20,OT,9.366201974648486e-05
20,PI,0.8282691547346772
20,QU,0.16881197596318773
21,AC,0.01989597628847851
21,LI,0.015563040796232252
21,OT,0.00043119063419174206
21,PI,0.9491589885743892
21,QU,0.014950803706708255
22,AC,0.026776297071176926
22,LI,1.5684517912409765e-07
22,OT,4.124490889243718e-05
22,PI,0.027040017996322312
22,QU,0.9461422831784292
23,AC,1.7723615056968724e-05
23,LI,9.272960553013348e-08
23,OT,3.1876545106844487e-06
23,PI,3.403628715303639e-05
23,QU,0.9999449597136738
24,AC,0.0005001720989395224
24,LI,0.00036179057796243406
24,OT,0.0026196512819276884
24,PI,0.24505751854443192
24,QU,0.7514608674967385
25,AC,1.4899504956640391e-06
25,LI,8.88886844953544e-07
25,OT,5.542930920078318e-07
25,PI,0.9997439231428944
25,QU,0.00025314372667313795
29,AC,5.5293767617341036e-05
29,LI,8.114301570200238e-08
29,OT,3.909900652349446e-08
29,PI,0.9987206340354778
29,QU,0.0012239519548825875
30,AC,7.050672818155819e-06
30,LI,7.967113292663703e-09
30,OT,8.352689182209486e-10
30,PI,0.00280171703990678
30,QU,0.9971912234848928
31,AC,0.004921864505430102
31,LI,0.0021100958168100647
31,OT,4.5161393666850816e-05
31,PI,0.004275021690725332
31,QU,0.9886478565933675
35,AC,1.2851245364578262e-05
35,LI,2.0733780029171005e-05
35,OT,3.2547006612221044e-06
35,PI,0.9505770147362681
35,QU,0.04938614553767693
40,AC,0.479935930815912
40,LI,0.29732204362476655
40,OT,0.002709465791673195
40,PI,0.21975811383517785
40,QU,0.0002744459324703716
42,AC,2.1159838143804792e-05
42,LI,4.692790273974111e-06
42,OT,4.251432652404221e-08
42,PI,0.6376773071893427
42,QU,0.3622967976679129
44,AC,1.3123214328999534e-07
44,LI,2.6263517388745176e-07
44,OT,1.6427041212397922e-07
44,PI,0.9926025643792347
44,QU,0.007396877483036055
45,AC,0.00023520594687435079
45,LI,2.2629972504147e-05
45,OT,1.9128091113071566e-05
45,PI,0.999044164821222
45,QU,0.0006788711682864713
46,AC,0.00017531856282281192
46,LI,6.748965043875039e-05
46,OT,6.254515979268482e-06
46,PI,0.9982516531615392
46,QU,0.0014992841092202084
50,AC,0.00024524239806415456
50,LI,1.1381573644577e-05
50,OT,5.594616976573897e-05
50,PI,0.9891410366122871
50,QU,0.010546393246238454
52,AC,0.008333361601461474
52,LI,2.749006942109401e-06
52,OT,0.00035418065709220216
52,PI,0.03350025925688455
52,QU,0.9578094494776197
53,AC,0.0002536304920175069
53,LI,2.3059469055230075e-05
53,OT,0.0001161436725694256
53,PI,0.9788845195242694
53,QU,0.02072264684208858
54,AC,5.824426904505184e-05
54,LI,1.3325806163496922e-06
54,OT,2.1985768623236192e-06
54,PI,0.999381575500642
54,QU,0.0005566490728342427
55,AC,4.217037153063537e-07
55,LI,1.0595311047942551e-06
55,OT,5.609298706204182e-07
55,PI,0.9996622500761884
55,QU,0.00033570775912093086
57,AC,4.943195548681396e-08
57,LI,8.609032920403065e-08
57,OT,8.36082040195164e-09
57,PI,0.9999622030634236
57,QU,3.765305347125816e-05
58,AC,0.0010500528317881237
58,LI,1.3620257876977028e-06
58,OT,4.6331492356943834e-07
58,PI,0.9960291947610981
58,QU,0.0029189270664023983
61,AC,8.111653776767293e-07
61,LI,5.478717818767178e-06
61,OT,1.6314150541012754e-09
61,PI,0.9979475810153775
61,QU,0.002046127470010958
62,AC,6.361834687844457e-05
62,LI,1.2829050521349958e-07
62,OT,3.77961256990456e-06
62,PI,0.045131362366057345
62,QU,0.954801111383989
67,AC,4.3704582449870336e-07
67,LI,2.7523700668413696e-08
67,OT,7.910526794240676e-09
67,PI,0.9999871680891754
67,QU,1.2359430772642768e-05
68,AC,3.7396167016967035e-05
68,LI,1.9015290723499114e-06
68,OT,3.4823794005011576e-05
68,PI,0.994736437077815
68,QU,0.005189441432090701
71,AC,0.0005216183916518195
71,LI,5.729375311025877e-05
71,OT,5.384236649974183e-06
71,PI,0.9906024728598541
71,QU,0.008813230758733746
72,AC,0.00022232504640758415
72,LI,3.536527885873775e-07
72,OT,1.990037076968312e-07
72,PI,0.9986119429542235
72,QU,0.0011651793428727416
73,AC,1.8016663648711342e-05
73,LI,5.270121429898209e-06
73,OT,5.032267922262564e-06
73,PI,0.024759744209337645
73,QU,0.9752119367376615
78,AC,2.709570400786174e-05
78,LI,2.745338562578226e-05
78,OT,4.7903874424540824e-08
78,PI,0.9767948352736582
78,QU,0.023150567732833704
79,AC,2.921098900428677e-05
79,LI,2.6345595103984448e-05
79,OT,1.051702749842362e-05
79,PI,0.8490313300605157
79,QU,0.15090259632787756
82,AC,0.00021937326207665565
82,LI,9.475530249827664e-07
82,OT,0.00017946062231502847
82,PI,0.011037025102441948
82,QU,0.9885631934601414
83,AC,0.7444328482938841
83,LI,1.3101848102153966e-05
83,OT,0.0004801276268267965
83,PI,0.17993723170338086
83,QU,0.07513669052780607
86,AC,0.0023949807661786475
86,LI,1.666379019243128e-05
86,OT,0.0010598635632048197
86,PI,0.028142115953305295
86,QU,0.9683863759271186
87,AC,2.0328047935618707e-05
87,LI,2.438046567174411e-06
87,OT,1.035508578291452e-05
87,PI,0.9979505909832606
87,QU,0.002016287836453722
90,AC,0.022079198466493435
90,LI,3.520496266340083e-08
90,OT,3.150065223558925e-05
90,PI,0.14136326237819405
90,QU,0.8365260032981142
92,AC,0.018775687362454566
92,LI,3.46221112986596e-05
92,OT,0.00845564233693303
92,PI,0.01646760928975854
92,QU,0.9562664388995552
94,AC,0.00013444593859990455
94,LI,1.9260800874274123e-05
94,OT,0.0011257542544579288
94,PI,0.0495664117812196
94,QU,0.9491541272248482
95,AC,4.8612797996212195e-05
95,LI,9.222405475958847e-05
95,OT,7.40797572662139e-06
95,PI,0.9396046312278328
95,QU,0.060247123943684845
96,AC,4.80787590745863e-05
96,LI,2.6332502179872476e-05
96,OT,2.350517870267972e-07
96,PI,0.999001237002628
96,QU,0.000924116684330556
97,AC,0.0001639002406893664
97,LI,3.4309927031725296e-05
97,OT,8.538988414413492e-05
97,PI,0.9947260290473744
97,QU,0.00499037090076048
98,AC,0.007566938090609332
98,LI,0.0005222183734415916
98,OT,3.3865364491031225e-06
98,PI,0.9823479402070779
98,QU,0.009559516792421995
99,AC,0.00020188589203626103
99,LI,7.759401181452004e-07
99,OT,4.571470602753514e-06
99,PI,0.993288805333294
99,QU,0.006503961363948888
100,AC,0.00023611864892350017
100,LI,2.4672409932709946e-05
100,OT,4.4521693517395045e-06
100,PI,0.9994368741102161
100,QU,0.00029788266157603215
109,AC,1.471675343979339e-05
109,LI,3.874801540182219e-05
109,OT,1.472135836755518e-07
109,PI,0.9834876333279463
109,QU,0.016458754689628482
110,AC,0.0006662396156950211
110,LI,2.5868582102917585e-05
110,OT,7.734880867618574e-05
110,PI,0.9488222491287844
110,QU,0.0504082938647414
111,AC,0.0001498071686862227
111,LI,2.772700389203538e-05
111,OT,1.989554437929564e-05
111,PI,0.9934039176448906
111,QU,0.006398652638151942
112,AC,2.5275119252545086e-05
112,LI,4.313925929005056e-06
112,OT,6.093853672587619e-06
112,PI,0.999336706712182
112,QU,0.0006276103889639352
114,AC,0.0001675974394987757
114,LI,1.575665350283783e-05
114,OT,2.6996923607654062e-05
114,PI,0.9874766765072897
114,QU,0.012312972476100963
115,AC,4.675259616830939e-06
115,LI,2.5604197603596656e-06
115,OT,1.4019281515924737e-06
115,PI,0.99899739093589
115,QU,0.000993971456581114
119,AC,0.00012355682799664074
119,LI,1.872607125477648e-05
119,OT,0.0001610280143991759
119,PI,0.01954157618777672
119,QU,0.9801551128985726
121,AC,1.8107281644892055e-06
121,LI,1.7412143173990586e-05
121,OT,1.937038602116723e-05
121,PI,0.9997139587726636
121,QU,0.00024744796997670825
124,AC,0.0002411353047736785
124,LI,5.67718184867944e-11
124,OT,3.5678549504205385e-08
124,PI,0.0013552009059854847
124,QU,0.9984036280539196
128,AC,1.1463196276844877e-05
128,LI,7.641768040888387e-05
128,OT,2.1234646354419738e-05
128,PI,0.9311906003739087
128,QU,0.06870028410305125
133,AC,4.269890930703557e-05
133,LI,2.1636303988533968e-05
133,OT,2.345652358884338e-05
133,PI,0.9949136223610326
133,QU,0.004998585902082823
134,AC,1.1379484495555716e-05
134,LI,2.3473995290169117e-09
134,OT,1.0222012830341024e-08
134,PI,0.9999736359490975
134,QU,1.4971996994613834e-05
135,AC,9.584766073967879e-07
135,LI,3.5338498723268365e-07
135,OT,1.307584051724994e-07
135,PI,0.9999051361718791
135,QU,9.342120812110988e-05
136,AC,5.982984549962976e-07
136,LI,5.683329634815258e-07
136,OT,1.9227595812828647e-08
136,PI,0.999984638640986
136,QU,1.4175499999789809e-05
139,AC,0.0002714170531916597
139,LI,1.2628601125977176e-05
139,OT,4.385249103830319e-05
139,PI,0.9656579433242946
139,QU,0.034014158530349496
140,AC,0.025561828617068766
140,LI,0.01991474435627607
140,OT,0.012983421651427565
140,PI,0.0783090875143892
140,QU,0.8632309178608384
141,AC,5.9908617970138253e-05
141,LI,4.761895697111055e-05
141,OT,4.700067654601666e-05
141,PI,0.9540825809494416
141,QU,0.045762890799071025
142,AC,1.0990381791462916e-05
142,LI,3.2846510460397815e-06
142,OT,5.913156306689851e-06
142,PI,0.9804065820056213
142,QU,0.019573229805234627
153,AC,1.4392642903706453e-07
153,LI,1.1909524110646442e-06
153,OT,6.606715869179713e-09
153,PI,0.9777867502753017
153,QU,0.022211908239142365
155,AC,0.002644654501094164
155,LI,0.00011632440414082402
155,OT,0.000433404053279606
155,PI,0.9194135604637818
155,QU,0.07739205657770372
156,AC,1.6893004150909545e-05
156,LI,5.68463735279768e-06
156,OT,3.851372426065515e-06
156,PI,0.99263580161944
156,QU,0.007337769366630348
157,AC,0.8140187285818731
157,LI,0.0010645138871513396
157,OT,0.00010276069982666454
157,PI,0.18278072668998538
