Crown_id	ACRU	LIST	OTHER	PIEL	PIPA	PITA	QUGE	QULA	QUNI	
162	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
490	0.1	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.1	
378	0.1	0.0	0.4	0.0	0.1	0.1	0.0	0.2	0.1	
414	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
213	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
25	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
482	0.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
530	0.0	0.0	0.0	0.1	0.8	0.0	0.1	0.0	0.0	
606	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
156	0.0	0.0	0.0	0.3	0.6	0.0	0.0	0.0	0.1	
270	0.1	0.0	0.0	0.0	0.6	0.1	0.0	0.2	0.0	
361	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
292	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
133	0.0	0.0	0.0	0.5	0.3	0.0	0.1	0.1	0.0	
133	0.0	0.0	0.0	0.2	0.7	0.0	0.0	0.1	0.0	
25	0.0	0.0	0.0	0.1	0.9	0.0	0.0	0.0	0.0	
216	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
153	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
266	0.0	0.1	0.1	0.0	0.0	0.0	0.8	0.0	0.0	
352	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
291	0.0	0.0	0.0	0.1	0.8	0.0	0.1	0.0	0.0	
179	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
292	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
478	0.1	0.0	0.0	0.0	0.5	0.0	0.1	0.3	0.0	
52	0.0	0.0	0.0	0.0	0.3	0.0	0.1	0.5	0.1	
295	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.4	0.0	
188	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
71	0.0	0.0	0.0	0.0	0.2	0.8	0.0	0.0	0.0	
293	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
172	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
111	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
291	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
382	0.0	0.0	0.0	0.0	0.1	0.0	0.6	0.3	0.0	
98	0.0	0.0	0.0	0.1	0.9	0.0	0.0	0.0	0.0	
158	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
292	0.0	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.0	
279	0.0	0.0	0.0	0.2	0.8	0.0	0.0	0.0	0.0	
111	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
22	0.0	0.0	0.8	0.0	0.1	0.0	0.0	0.1	0.0	
446	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
42	0.0	0.0	0.0	0.0	0.8	0.1	0.1	0.0	0.0	
98	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
265	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.7	0.0	
416	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.9	0.0	
262	0.0	0.0	0.0	0.0	0.5	0.1	0.1	0.3	0.0	
292	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
183	0.0	0.0	0.0	0.0	0.7	0.0	0.1	0.2	0.0	
281	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.6	0.1	
242	0.0	0.0	0.0	0.0	0.8	0.2	0.0	0.0	0.0	
554	0.0	0.2	0.8	0.0	0.0	0.0	0.0	0.0	0.0	
601	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
602	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
161	0.0	0.0	0.0	0.1	0.8	0.0	0.0	0.1	0.0	
232	0.1	0.0	0.4	0.0	0.0	0.0	0.1	0.0	0.4	
414	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
97	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
266	0.0	0.0	0.1	0.0	0.0	0.0	0.9	0.0	0.0	
606	0.0	0.0	0.0	0.2	0.7	0.0	0.1	0.0	0.0	
139	0.0	0.0	0.0	0.2	0.3	0.2	0.1	0.2	0.0	
242	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
587	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.9	0.0	
179	0.0	0.0	0.0	0.1	0.7	0.0	0.0	0.2	0.0	
423	0.0	0.0	0.0	0.0	0.2	0.7	0.0	0.1	0.0	
508	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.4	0.0	
292	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
31	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	
158	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
242	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.2	0.0	
274	0.0	0.0	0.0	0.0	0.8	0.1	0.0	0.0	0.1	
92	0.0	0.0	0.3	0.0	0.2	0.1	0.0	0.4	0.0	
153	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.0	0.0	
338	0.0	0.0	0.1	0.0	0.9	0.0	0.0	0.0	0.0	
340	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.9	0.0	
397	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
235	0.4	0.0	0.2	0.0	0.0	0.1	0.3	0.0	0.0	
16	0.0	0.0	0.0	0.0	0.6	0.3	0.1	0.0	0.0	
554	0.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	0.0	
53	0.0	0.0	0.0	0.1	0.6	0.1	0.1	0.1	0.0	
99	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
382	0.0	0.0	0.0	0.0	0.3	0.0	0.5	0.2	0.0	
338	0.0	0.0	0.0	0.1	0.9	0.0	0.0	0.0	0.0	
375	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.0	0.0	
554	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
479	0.0	0.0	0.1	0.0	0.7	0.0	0.1	0.1	0.0	
454	0.0	0.0	0.0	0.1	0.7	0.2	0.0	0.0	0.0	
622	0.0	0.0	0.0	0.0	0.6	0.2	0.0	0.2	0.0	
31	0.5	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.2	
187	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
495	0.0	0.0	0.0	0.0	0.7	0.0	0.2	0.1	0.0	
529	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
291	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.1	0.0	
601	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
237	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.3	0.0	
188	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
188	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
554	0.0	0.3	0.7	0.0	0.0	0.0	0.0	0.0	0.0	
31	0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.5	
99	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.0	0.0	
119	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.7	0.0	
283	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
155	0.0	0.0	0.0	0.1	0.1	0.8	0.0	0.0	0.0	
474	0.0	0.0	0.0	0.0	0.9	0.0	0.1	0.0	0.0	
98	0.0	0.0	0.0	0.0	0.8	0.0	0.1	0.1	0.0	
188	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
302	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3	0.0	
96	0.0	0.0	0.0	0.1	0.8	0.1	0.0	0.0	0.0	
540	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
401	0.1	0.0	0.3	0.3	0.2	0.0	0.1	0.0	0.0	
608	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.1	
302	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.9	0.0	
