crown_ids	ACRU	LIST	OTHER	PIEL	PIPA	PITA	QUGE	QULA	QUNI	
508	3.4963072121049855e-07	2.471894269396814e-08	0.0009551300648704473	1.7234333753765227e-05	9.986799566543259e-05	0.9986995167707585	3.399409583861973e-06	8.988695009637846e-07	0.00022357820620306804	
95	0.0034145858078000837	0.0002658657991419706	0.010724773776449887	0.0020529523154939728	0.6912809485372291	0.010883444746905214	0.007538384951532177	0.26269880220514297	0.011140241860304474	
373	1.2221606985188285e-05	0.9996280604886582	0.0003595944779128886	7.970771211599596e-12	6.390587122279919e-10	1.2497748265835943e-14	1.2124793137718503e-07	8.48265291799039e-12	1.5229876644449676e-09	
561	0.0038735928496294193	0.0039049375894154286	0.02604570215207468	0.008678215214332962	0.032846557977503014	0.9215756658550928	0.001746749515091438	1.632918021529448e-05	0.0013122496666452103	
266	9.409584361366794e-07	0.014256726061081765	0.020230346307443255	5.934248607291182e-11	0.000853426605510558	1.8672535617499712e-11	0.9645687778169075	7.956222193676309e-07	8.898655038648555e-05	
612	9.663440004222249e-09	4.0245597479791234e-08	1.2482954387156635e-07	1.3672284629767006e-07	0.998343397644183	7.978534237544218e-06	0.0001878582854097613	0.0011753040594764783	0.00028515001526568945	
232	4.1186626847034343e-07	8.359843109528082e-05	0.9231489382758011	7.004343717941735e-12	0.00012894945398475246	1.8147303994992454e-12	0.00237981483157665	0.00013443641108274663	0.07412385072137204	
53	1.868568367978674e-09	2.7424466747493044e-11	1.2866859249875394e-07	0.0005454235989155693	0.9628626739538453	6.249724142712004e-05	0.000567368578807163	0.013956457465173164	0.022005448597246638	
25	2.7820497004677296e-08	1.3482556591357999e-05	0.05089118619790982	7.33420688332879e-05	0.9476679797737105	0.0008672797188839308	0.00047514866383880353	4.243812116260436e-07	1.1128818523477214e-05	
352	5.728734751017004e-07	3.582379282577732e-06	0.002285417864574241	0.005928964581812863	0.9289876962350567	0.0011880652082393508	0.0009213759376567672	0.002679917444724644	0.05800440747517782	
622	5.908965433400064e-08	2.4965940684380246e-09	2.3137355698701584e-05	2.0689633295928175e-05	0.8562724075331186	0.03167859552150699	0.0015707851001608376	0.09873525287166847	0.011699070398302107	
180	9.098355426107637e-06	8.408765826948347e-08	0.00010915825967048222	0.0035234588433591995	0.9141355416878144	0.003993993780610805	0.01725954084578294	0.03856221884622333	0.02240690529345449	
265	5.904158828515073e-08	6.35379321017863e-09	6.834420937530668e-06	7.816353260818716e-09	0.02356968911107397	2.0768339537487458e-06	0.005025629977570101	0.9712806213119357	0.00011507513279420394	
455	6.430636192588818e-07	4.768779424691724e-07	0.00011917286997397807	3.4963385185490116e-05	0.9955499400342179	0.001691502561674809	0.0017614553953444448	0.00014605862668394076	0.0006957871853574834	
490	0.0003210901205820508	2.7811768138665425e-06	0.9467718357719203	1.0792636876825145e-06	0.0018276870133818682	8.667447944858424e-06	0.0008638680806985617	0.03806285807437046	0.012140133050600181	
