Crown_id	AC	LI	OT	PI	QU	
162	0	0	0	1	0	
490	0	0	0	0	1	
378	0	0	0	0	1	
414	0	0	0	1	0	
213	0	0	0	1	0	
25	0	0	0	1	0	
482	0	1	0	0	0	
530	0	0	0	1	0	
606	0	0	0	1	0	
156	0	0	0	1	0	
270	0	0	0	1	0	
361	0	0	0	1	0	
292	0	0	0	1	0	
133	0	0	0	1	0	
133	0	0	0	1	0	
25	0	0	0	1	0	
216	0	0	0	1	0	
153	0	0	0	1	0	
266	0	0	0	0	1	
352	0	0	0	1	0	
291	0	0	0	1	0	
179	0	0	0	1	0	
292	0	0	0	1	0	
478	0	0	0	0	1	
52	0	0	0	0	1	
295	0	0	0	0	1	
188	0	0	0	1	0	
71	0	0	0	1	0	
293	0	0	0	1	0	
172	0	0	0	1	0	
111	0	0	0	1	0	
291	0	0	0	1	0	
382	0	0	0	0	1	
98	0	0	0	1	0	
158	0	0	0	1	0	
292	0	0	0	1	0	
279	0	0	0	1	0	
111	0	0	0	1	0	
22	0	0	0	0	1	
446	0	0	0	1	0	
42	0	0	0	1	0	
98	0	0	0	1	0	
265	0	0	0	0	1	
416	0	0	0	0	1	
262	0	0	0	0	1	
292	0	0	0	1	0	
183	0	0	0	1	0	
281	0	0	0	0	1	
242	0	0	0	1	0	
554	0	0	1	0	0	
601	0	0	0	1	0	
602	0	0	0	1	0	
161	0	0	0	1	0	
232	0	0	0	0	1	
414	0	0	0	1	0	
97	0	0	0	1	0	
266	0	0	0	0	1	
606	0	0	0	0	1	
139	0	0	0	1	0	
242	0	0	0	1	0	
587	0	0	0	0	1	
179	0	0	0	1	0	
423	0	0	0	1	0	
508	0	0	0	1	0	
292	0	0	0	1	0	
31	0	0	0	0	1	
158	0	0	0	1	0	
242	0	0	0	1	0	
274	0	0	0	1	0	
92	0	0	0	0	1	
153	0	0	0	1	0	
338	0	0	0	1	0	
340	0	0	0	0	1	
397	0	0	0	1	0	
235	0	0	0	0	1	
16	0	0	0	1	0	
554	0	1	0	0	0	
53	0	0	0	1	0	
99	0	0	0	1	0	
382	0	0	0	0	1	
338	0	0	0	1	0	
375	0	0	0	1	0	
554	0	0	1	0	0	
479	0	0	0	1	0	
454	0	0	0	1	0	
622	0	0	0	1	0	
31	0	0	0	0	1	
187	0	0	0	1	0	
495	0	0	0	1	0	
529	0	0	0	1	0	
291	0	0	0	1	0	
601	0	0	0	1	0	
237	0	0	0	1	0	
188	0	0	0	1	0	
188	0	0	0	1	0	
554	0	0	1	0	0	
31	0	0	0	0	1	
99	0	0	0	1	0	
119	0	0	0	0	1	
283	0	0	0	1	0	
155	0	0	0	1	0	
474	0	0	0	1	0	
98	0	0	0	1	0	
188	0	0	0	1	0	
302	0	0	0	0	1	
96	0	0	0	1	0	
540	0	0	0	1	0	
25	0	0	0	1	0	
401	0	0	0	0	1	
608	0	0	0	1	0	
302	0	0	0	0	1	
42	0	0	0	1	0	
454	0	0	0	1	0	
466	0	0	0	1	0	
133	0	0	0	1	0	
474	0	0	0	1	0	
31	0	0	0	0	1	
